id	sentence	implicit_ops_added
412964	Where was Tom when the fire broke out?\n	((where.pq ((past be.v) |Tom| (when.ps ((the.d fire.n) ((past break_out.v)))))) ?)
413019	What am I supposed to do if Tom comes?\n	((sub what.pro ((pres be.v) I.pro (supposed.a (to (do.v *h))) \n\t\t\t\t\t\t\t\t\t\t (if.ps (|Tom| (pres come.v))))) ?)
413078	Tom, could you keep an eye on the kids?\n	((|Tom| ((pres could.aux-s) you.pro (keep.v (an.d eye.n) (on.p-arg (the.d (plur kid.n)))))) ?)
415475	Tom didn't want to eat the worms even though they were high in protein.\n	(|Tom|.n (do.aux-s (not (pres want.v) (to.p (pres eat.v) (the.d (plur worm.n)) even.a though.p (they.pro (past be.v) (high.a in.p protein.n))))))
420702	Could you help me wash the dishes?\n	(((pres could.aux-s) you.pro ((help.v me.pro) (ka (wash.v (the.d (plur dish.n)))))) ?)
421851	Why don't you drop in?\n	((Why.adv-s ((pres do.aux-s) not you.pro (drop_in.v {ref1}.pro))) ?)
423617	Tom has never said such a thing.\n	(|Tom|.n (past be.v) (not (ever.adv-s (past say.v)) such.p (a.d thing.n)))
430573	If you go too close, you run the risk of being electrocuted.\n	(If.ps you.pro (pres go.v) (too.a close.n)) ((you.pro run.v ((the.d risk.n)) (of.p being.v (past electrocute.v))))
430657	Did you know that men can get breast cancer?\n	((((past do.aux-s) you.pro (know.v (that ((plur man.n) ((can.aux-v get.v) (breast.n cancer.n))))))) ?)
431123	I can't keep up with you. Could you dictate a bit slower?\n	(I.pro ((pres can.aux-v) not (keep_up.v (with.p-arg you.pro)))) \n \n(((pres could.aux-v) you.pro (dictate.v (adv-a (a_bit.adv-a slower.a)))) ?)
431423	It's OK with me if you take that book.\n	(it.pro (((pres be.v) ok.a) \n         (adv-a (with.p me.pro))\n\t\t (if.ps (you.pro ((pres take.v) (that.d book.n))))))
432749	I'm broken.\n	(I.pro ((pres be.v) broken.a))
435994	You don't worry.\n	(You.pro ((pres do.aux-s) (not worry.v)))
442610	What would he know?\n	((sub What.pro ((pres would.aux-s) he.pro (know.v *h)))?)
443349	What is the matter of surprise in it?\n	(What.pq (((pres be.v) (the.d (matter.n of.p surprise.n))) in.p it.n)?)
443464	Shall we go out for a walk?\n	(((pres shall.aux-s) (we.pro (go.v out.adv-a (for.p-arg (a.d walk.n)))))?)
443488	Where would you go if you could time travel?\n	((sub where.pq (((cf will.aux-s) you.pro (go.v *h)) \n\t\t\t\t\t\t\t\t\t\t (if.ps (you.pro ((cf can.aux-v)\n\t\t\t\t\t\t\t\t\t\t \t\t\t\t time_travel.v))))) ?)
444152	Is it not dark in the rain?\n	((pres be.v) (it.n (not dark.a (in.p (the.d rain.n))))?)
445122	Why don't you go home?\n	((sub why.adv-s ((pres do.aux-s) not you.pro (go.v (k home.n) *h))) ?)
445705	Are Protestants tired of the Bible?\n	(((pres be.v) (plur |Protestant|.n) (tired.a (of.p-arg (the.d |Bible|.n)))) ?)
448286	If he had worked harder, he could have succeeded.\n	((if.ps (he.pro ((cf perf) (work.v (adv-a harder.a))))) \n (he.pro ((cf can.aux-v) (perf succeed.v))))
451157	What wonderful weather!\n	(sub \n (What.a (wonderful.a weather.n)) \n ({this}.pro ((pres {be}.v) *h)))
452654	Don't let the dog inside.\n	(((pres do.aux-s) (not ((pres let.v) (the.d dog.n) inside.adv-a)))!)
453694	How much time do we have?\n	((sub (How.adv-a (much.a (k time.n))) ((pres do.aux-s) we.pro (have.v *h))) ?)
454057	You can use my car if you drive carefully.\n	(You.pro can.aux-s use.v (my.pro car.n) if.p (you.pro drive.v carefully.adv-a))
454259	What are the men doing?\n	((sub what.pro ((the.d (plur man.n)) ((pres prog) do.v *h))) ?)
456775	It goes without saying that he will come to the discussion.\n	(It.n ((pres go.v) (with.p not (saying)) that.p (he.pro will.aux-s come.v to.p (the.d discussion.n))))
456983	Where can I find them?\n	((sub where.adv-e ((pres can.aux-v) I.pro (find.v them.pro) *h)) ?)
458444	Can I see you a moment?\n	(((pres Can.aux-v) I.pro \n  (see.v (you.pro (adv-e ({for}.p (a.d moment.n)))))) ?)
459128	They did not listen.\n	(they.pro ((past do.aux-v) not listen.v))
462269	This is the first time I've ever needed help.\n	(This.pro \n ((pres be.v) \n  (= (the.d (first.a \n              (n+preds time.n\n      \t\t\t\t   (sub tht.rel \n                             (I.pro (ever.adv-f (((pres perf) (need.v (k help.n))) \n                                                 (adv-e ({at-time}.p *h))))))))))))
463847	Have you tried it before?\n	(((pres perf) you.pro \n  ((try.v it.pro) before.adv-e)) ?)
464315	Have your ever followed the White Rabbit to its hole?\n	(((((pres perf) you.pro ever.adv-e follow.v) (the.d |White Rabbit|.n)) \n\t\t\t\t\t\t\t\t\t\t\t (to.p-arg (its.d hole.n))) ?)
464965	Have you ever swallowed an apricot pit?\n	(Have.aux-s (you.pro (ever.adv-e ((past swallow.v) (an.d (apricot_pit.n)))))?)
466814	When was the last time you drank this?\n	((When.pq ((past be.v) ((the.d (last.a time.n)) tht (you.pro ((past drink.v) this.pro)))))?)
467552	When will you go to Germany?\n	((sub When.pq \n      ((pres will.aux-s) you.pro \n       (go.v (to.p-arg |Germany|))\n       *h)) ?)
468953	How do you want to be polite with people like him?\n	((sub how.adv-a ((pres do.aux-s) you.v (want.v (to (be.v (*h polite.a) (adv-a (with.p (k (np+preds (plur people.n) (like.a him.pro)))))))))) ?)
470734	Don't waste your pocket money.\n	(Do.aux-v not ((pres waste.v) your.pro (pocket.a money.n)))
471719	How many countries are members of the United Nations?\n	(((how.adv-s (many.d (plur country.n))) \n\t\t\t ((pres be.v) (plur member_of.n) (the.d |United Nations|.n))) ?)
471847	How many statues are there in this temple?\n	(How.aux-s (many.a (plur statue.n) ((pres be.v) there.n (in.p (this.d temple.n))))?)
474419	Can you remember that last time you ate ravioli?\n	(((pres can.aux-v) (you.pro (remember.v (that.d ((last.a time.n) tht (you.pro ((past eat.v) (k ravioli.n))))))))?)
474724	Don't admit anything.\n	(Do.v not (admit.v anything.n))
475271	Don't just stand there. Call security.\n	(Do.aux-v not (just.p (stand.v there.n))) ((pres call.v) security.n)
477874	Where did you breast-feed them?\n	( (( ( sub (Where.adv-s) ( ( past do.aux-s) (( you.pro)) ( (past breast-feeding.v) ( them.pro *h)))) )?))
478007	Where did you program them?\n	(((sub Where.adv-s ((past do.v)  you.pro (program.v them.n *h))))  ?)
478413	Have you ever been married?\n	(( ( Have.aux-s) ( ( ( you.pro)) ( ( ever.adv-e))) ( ( been.aux-v) ( (perf married.v))) ( ?)))
478671	Could you make sure Tom does his homework?\n	(((pres could.aux-s) (you.pro (make.v sure.a (tht (|Tom| ((pres do.v) (his.d homework.n))))))) ?)
478891	Why should I hire you?\n	((sub why.adv-s ((pres should.aux-s) i.pro (hire.v you.pro *h))) ?)
479291	May I assist you?\n	(((pres May.aux-v) I.pro assist.v you.pro) ?)
480366	Tom didn't even have the decency to admit it was his fault.\n	(|Tom|.n ((past do.v) (not (even.adv-s (pres have.v) (the.d decency.n)))( to.p (pres admit.v) (it.n (past be.v) (his.pro fault.n)))))
486257	I can't just turn my back on Tom.\n	(I.pro ((pres can.aux-v) not (just.adv-s (turn.v (my.d back.n)) (on.p-arg |Tom|))))
490249	Did he say that?\n	(((past do.aux-s) (he.pro (say.v that.pro)))?)
491326	What did he see?\n	((sub what.pro ((past do.aux-s) he.pro (see.v *h))) ?)
491431	This is my last review.\n	(This.pro ((pres be.v) (= (my.d (last.a review.n)))))
492729	I want to know who did that.\n	(I.pro ((pres want.v) (to (know.v (ans-to (who.pro ((past do.v) that.pro)))))))
493799	So, where do you want to do this?\n	((sub where.adv-e ((pres do.aux-s) you.pro (want.v (to (do.v this.pro)) *h))) .?)
494090	Don't tell me if you don't want to.\n	((({you}.pro ((pres do.aux-s) not.adv-s (tell.v me.pro))) (if.ps (you.pro ((pres do.aux-s) not.adv-s (want.v (to ({tell}.v {me}.pro))))))) !)
494310	Do you really want to dance with me?\n	((Do.aux-s ((you.pro really.a want.v)) (to (dance.v with.p me.pro)))?)
495156	What makes you think I want a new oboe?\n	( What.pq ( ( makes.v ( you.pro) ( think.v (( (I.pro ) ( want.v ( a.p new.a oboe.n))))))))?
498572	I've just never seen you looking happier.\n	(I.pro (pres have.v) (just.a (not (ever.adv-s (past see.v) (you.pro ((pres looking.v) happier.a))))))
498785	You look very beautiful tonight.\n	(You.pro look.v (very.a beautiful.a tonight.adv-e))
498997	What's keeping you so busy?\n	(What.ps (pres be.v) (((pres keep.v) you.pro) (so.a busy.a))?)
499557	Why won't you play with me?\n	((Why.adv-s ((pres will.aux-s) not you.pro (play.v (adv-a (with.p me.pro))))) ?)
499757	Could you lend me your pink pen, please?\n	((((pres Could.aux-v) you.pro ((lend.v me.pro) (your.d (pink.a pen.n)))) please.adv-s) ?)
504304	Be punctual.\n	(be.v (punctual.a))
505506	Do you refer to me?\n	(((pres do.aux-s) you.pro (refer.v (to.p-arg me.pro))) ?)
505931	You've invited your friends as well?\n	((You.pro ((((past perf) invite.v) (your.pro (plur friend.n))) as_well.adv-s))?)
507380	What time is it there now?\n	(What.rel (time.n ((pres be.v) it.p (there.n now.adv-e)))?)
510600	Why don't you give me a break?\n	((sub Why.adv-s \n  \t  ((pres do.aux-s) not you.pro \n       (((give.v me.pro) (a.d break.n)) *h))) ?)
512510	Show me the picture.\n	(({you}.pro (((pres Show.v) me.pro) (the.d picture.n))) !)
517074	Are you embarrassed?\n	((pres be.v) (you.pro (past embarrass.v))?)
517180	Can you cancel?\n	(((pres can.aux-s) you.pro cancel.v) ?)
517184	Can you help?\n	(((pres can.aux-v) (you.pro help.v))?)
517392	Don't hurt anybody.\n	((pres do.aux-v) not (hurt.v anybody.pro))
519271	It isn't locked.\n	(It.pro ((pres be.v) not locked.a))
520650	Don't give me that crap!\n	(({you}.pro ((pres do.aux-s) not (give.v (me.pro (that.d crap.n)))))!)
521851	Who's giving the main speech?\n	((who.pro ((pres prog) (give.v (the.d (main.a speech.n))))) ?)
521941	What comes next?\n	((What.pro ((pres come.v) next.adv-a)?))
522118	Who lost it?\n	((who.pro ((past lose.v) it.pro)) ?)
526673	Would you step aside?\n	(((pres would.aux-s) you.pro (step.v aside.adv-a)) ?)
529788	They shoot horses, don't they?\n	((They.pro ((pres shoot.v) ((k (plur horse.n))))).?)
530432	Why didn't you call me?\n	(( ( ( Why.adv-s)) ( ( did.aux-s) ( not) (( you.pro)) ( ( call.v) ( ( me.pro)))) ( ?)))
531011	You didn't think I'd notice, did you?\n	((You.pro (did.v not (think.v I.pro would.p notice.v))) (did.aux-s you.pro))?
531276	Don't worry. Everything will be fine.\n	(({you}.pro ((pres do.aux-s) not worry.v)) !) (everything.pro ((pres will.aux-s) (be.v fine.a)))
533762	I couldn't think of anything else I wanted to buy.\n	(I.pro could.aux-s ((not (pres think.v)) of.p (anything.n else.a) (I.pro (past want.v) to.p buy.v)))
534642	What would you want to drink?\n	((What.d would.aux-s (you.pro want.v to.p drink.v))?)
546064	Why did you volunteer to do this?\n	((sub Why.pq ((past do.aux-s) you.pro (volunteer.v (to (do.v this.pro))) *h))?)
549541	Can you come tomorrow?\n	(((pres can.aux-v) you.pro come.v tomorrow.adv-e) ?)
549756	Hi. How are you called?\n	(pu Hi.a) (How.adv-a ((pres be.v) (you.pro (past call.v)))?)
549893	Tom doesn't like people to know that he can't speak French well.\n	(|Tom| ((pres do.aux-s) \n        not.adv-s \n        (like.v (ke ((k people.n) (know.v\n                                   (that (he.pro ((pres can.aux-v) \n                                                  not.adv-s ((speak.v |French|) well.adv-a))))))))))
550216	Is French pronunciation difficult?\n	(((pres be.v) (|French| pronunciation.n) difficult.a)?)
554138	Where is Banja Luka?\n	(Where.pq (pres be.v) (|Banja Luka|.n)?)
554310	He says that he will come tomorrow.\n	(He.pro ((pres say.v) (that.rel (he.pro ((pres will.aux-s) (come.v tomorrow.adv-e))))))
555349	Maybe you could draw me a map?\n	((maybe.adv-s (you.pro ((pres could.aux-v) (draw.v me.pro (a.d map.n))))) ?)
556069	Would you like to grab a bite to eat somewhere?\n	(((past would.aux-v) you.pro (like.v (to ((grab.v (a.d bite.n)) (to (eat.v somewhere.adv-e)))))) ?)
557369	Would you take Tom to Boston with you?\n	(((pres Would.aux-s) you.pro \n  ((take.v |Tom| (to.p-arg |Boston|)) \n   (adv-a (with.p you.pro)))) ?)
558231	Are you recording this conversation?\n	(((pres prog) you.pro (record.v (this.d conversation.n))) ?)
559083	Tom won't even know we were here.\n	(|Tom| (not ((pres will.aux-s) (even.adv-a (know.v (tht (we.pro ((past be.v) here.adv-e))))))))
562628	I'd know if you were lying.\n	((I.pro ((cf will.aux-s) (know.v {ref}.s))) (if.ps (you.pro ((cf prog) lie.v))))
564580	What's behind the door?\n	((What.pro ((pres be.v) (behind.p (the.d door.n))))?)
564804	I'm the boss, aren't I?\n	((i.pro ((pres be.v) (the.d boss.n))) .?)
569824	Do you want to drink a perfect cocktail?\n	(((pres do.aux-s) you.pro \n  (want.v (to (drink.v (a.d (perfect.a cocktail.n)))))) ?)
569829	Do you care who helps us?\n	(((pres do.aux-s) you.pro (care.v (who.pro (help.v us.pro)))) ?)
569860	When the sun comes up, I'll get out of bed.\n	(sub (when.ps ((the.d sun.n) (pres come_up.v))) \n\t (I.pro (((pres will.aux-s) (get.v \n              (out_of.p ({the}.d bed.n)))) *h)))
572742	Do you want to see me?\n	(((pres do.aux-s) you.pro (want.v (to (see.v me.pro)))) ?)
575615	You're not very hungry, are you?\n	(You.pro (pres be.v) not (very.a hungry.n))  (((pres be.v) you.pro)?)
578992	Why are you whispering?\n	((sub Why.adv-s ((pres prog) you.pro (whisper.v *h)))?)
579034	What did you do before?\n	((sub what.pro ((past do.aux-s) you.pro ((do.v *h) before.adv-e))) ?)
579120	Tom wanted it this way.\n	(|Tom| ((past want.v) (np+preds it.pro (= (this.d way.n)))))
579467	Can't you do something?\n	(((pres can.aux-v) not (you.pro (do.v something.pro)))?)
581059	Have you been there?\n	((you.pro ((pres perf) (be.v there.pro))) ?)
582759	May I have the floor?\n	(((pres may.aux-v) I.pro (have.v (the.d floor.n))) ?)
583004	The culture was completely different from the one she was used to.\n	((The.d culture.n)\n ((past be.v) \n  (completely.adv-a \n   (different.a \n    (from.p-arg (the.d (n+preds one.n\n                        \t\t(sub tht.rel (she.pro ((past be.v) (used_to.a *h)))))))))))
585563	He had bought a dog.\n	(He.pro (((past perf) buy.v) (a.d dog.n)))
585852	How many months can you stay here?\n	((How.adv-a ((many.a (plur month.n)) (can.aux-s you.pro stay.v here.adv-a))) ?)
585896	"Has anybody called the police?" "I have."\n	((pres have.v) anybody.n (call.v (the.d police.n))?) (I.pro (past do.v))
588085	Why am I so sleepy?\n	((why.adv-s ((pres be.v) I.pro (so.adv-a sleepy.a))) ?)
588285	Are you calling me stupid?\n	((pres be.v) ((you.pro (pres calling.v) me.pro) stupid.a)?)
593805	Do you believe in guiding stars?\n	(((pres do.aux-s) you.pro (believe_in.v (k (guiding.a (plur star.n))))) ?)
595345	When do you think the Philippines will host the Olympic Games?\n	((sub When.pq ((pres do.aux-s) you.pro \n               (think.v \n                (tht ((the.d |Philippines|.n) \n                      (((pres will.aux-s) (host.v (the.d (|Olympic|.a (plur |Game|.n))))) *h)))))) ?)
595472	If you want it, you can have it.\n	((if.ps \n (you.pro ((pres want.v) it.pro)))\n (you.pro ((pres can.aux-v) (have.v it.pro))))
600507	Tom doesn't have any close friends.\n	(|Tom| ((pres do.aux-s) not (have.v (any.d (close.a (plur (friend-of.n *s)))))))
601545	Is it dangerous to go out for walks at night?\n	((( pres be.v) it.pro ( dangerous.a (( to.p (go.v (out.v) (for.p (walks.n)) ( at.p (night.n)))))))?)
601717	Can I help you somehow?\n	(Can.aux-s ((I.pro (somehow.adv-a help.v) you.pro) )?)
601967	If I'd known the truth, I would've told it to you.\n	((If.ps (I.pro ((cf perf) (know.v (the.d truth.n))))) (I.pro ((cf will.aux-s) (perf ((tell.v it.pro) (adv-a (to.p you.pro)))))))
602166	Do you think Tom is handsome?\n	(((pres do.aux-s) (you.pro (think.v tht (|Tom| ((pres be.v) handsome.a)))))?)
604819	You quit your job, didn't you?\n	((you.pro ((past quit.v) (your.d job.n))) .?)
605745	What would you suggest that I do?\n	((sub what.pro ((pres would.aux-s) you.pro (suggest.v (that (I.pro ((pres do.v) *h)))))) ?)
606215	What made you say that?\n	((what.pro ((past make.v) you.pro (say.v that.pro))) ?)
607533	What's that, buddy?\n	(What.pq (((pres be.v) ( that.rel  buddy.n))))?
607780	Do you want to learn English?\n	(((pres do.aux-v) you.pro (want.v (to (learn.v |English|)))) ?)
608976	How can you say that to me?\n	((sub How.pq ((pres can.aux-s) (you.pro ((say.v that.pro) to.p me.pro *h))))?)
610934	Write your surname on the fourth line.\n	(({you}.pro ((pres write.v) (your.d surname.n) (adv-a (on.p (the.d (fourth.a line.n)))))) !)
611115	Do you know of a dish that has laurel leaves in it?\n	(((pres do.aux-s) you.pro (know.v (of.p-arg (a.d (np+preds dish.n (sub that.rel ((pres have.v) ((laurel.a (plur leaf.n)) (in.p it.pro)) *h))))))) ?)
612134	How many years has Tom lived in Boston?\n	((sub ((How.adv-a many.a) (plur year.n)) (|Tom| (((pres perf) live.v) (in.p |Boston|.n) *h)))?)
612566	I met my boyfriend there.\n	(i.pro ((past meet.v) (my.d boyfriend.n) there.adv-e))
612786	If we didn't satisfy your expectations, that's your problem.\n	((If.ps (we.pro ((past do.aux-s) not (satisfy.v (your.d (plur expectation.n)))))) (that.pro ((pres be.v) (= (your.d problem.n)))))
614606	And what if he rejects me?\n	((and.adv-s ((pu what.pro) (if.ps (he.pro ((pres reject.v) me.pro))))) ?)
614941	Can you protect me?\n	(((pres Can.aux-v) you.pro (protect.v me.pro)) ?)
615086	Do you think Tom can speak French?\n	(((pres do.aux-s) (you.pro (think.v (tht (|Tom| ((pres can.aux-v) (speak.v |French|.n)))))))?)
616355	It would be good if Tom did a little more exercise.\n	((it.pro ((cf will.aux-s) (be.v good.a))) \n (if.ps (|Tom| ((cf do.v) ((nquan (a_little.adv-a more.a)) exercise.n)))))
617268	You can understand French, right?\n	((you.pro ((pres can.aux-v) (understand.v |French|))) .?)
622252	Can he come too?\n	((Can.aux-s (he.pro) )(pres come.v))?
624627	Would you mind if I ask you a few questions?\n	((((pres would.aux-s) you.pro mind.v) \n   (if.ps (I.pro ((ask.v you.pro) (a.d (nquan few.a) (plur question.n)))))) ?)
625606	Is it OK if I go over to Tom's house to play?\n	((((pres be.v) it.p OK.a) if.p (I.pro (go.v over.adv-a) to.p |Tom|'s house.n) to.n play.v)?)
625992	Would you fancy a game of Japanese chess?\n	(((pres would.aux-s) (you.pro (fancy.v ((a.d game.n) (of.p (Japanese.a (k chess.n)))))))?)
626209	I'd like to see more of you.\n	(I.pro would.aux-s (pres like.v) (to.p (pres see.v) (more.a of.p you.pro)))
626291	You went to Boston, right?\n	((you.pro ((past go.v) (to.p-arg |Boston|))) .?)
626314	Who's the person Tom went to Boston to help?\n	(Who.rel (pres be.v) (the.d person.n) (|Tom|.pro ((past go.v) to.p |Boston|.n) to.p (help.v))?)
628719	Tom does have a certain charm, doesn't he?\n	((|Tom| ((pres do.aux-s) (have.v (a.d (certain.a charm.n))))) .?)
628842	Did you really think I didn't know?\n	(((past do.aux-s) you.pro (really.adv-a (think.v (tht (I.pro ((past do.aux-s) (not know.v))))))) ?)
630388	You're students, aren't you?\n	((You.pro ((pres be.v) (plur student.n))) .?)
631204	"Zelda, I'm going to eat spaghetti for dinner, then I'm going to rub spaghetti into my face! Aren't I funny?" "No, you're not." "Huh?" "Father, stop talking about your dinner." "Yeah, Zelda's right. Your dinner is boring!"\n	(Your.pro (dinner.n (pres be.v) boring.a))
632127	Did any of the other club members complain about Tom?\n	(pres do.aux-s ( (any.d) (of.p (the.d other.a club_members.n))) (sub(past prog complain.v (about.p (|Tom|)))))
632369	Can't you see we're on a break?\n	((((pres can.aux-s) not you.pro (see.v (tht (we.pro ((pres be.v) (on.p-arg (a.d break.n)))))))) ?)
633382	Can you miss the present moment?\n	(((pres Can.aux-v) you.pro \n  (miss.v (the.d (present.a moment.n)))) ?)
634105	Would you please take me home?\n	(((pres would.aux-s) you.pro please.adv-s ((take.v me.pro) (k home.n))) ?)
634889	You're going to be bored if you go.\n	((you.pro ((pres be.v) (going_to.v (be.v bored.a)))) (if.ps (you.pro (pres go.v))))
635888	Have you ever read the New Testament?\n	(Have.aux-s (you.pro ever.adv-e ((past read.v) (the.d New.a Testament.n)))?)
636843	Could you tell us what happened next?\n	((Could.aux-s (you.pro (pres tell.v) us.pro) (what.d (past happen.v) next.adv-e))?)
638712	We ate at a restaurant just outside Boston.\n	(We.pro ((past eat.v) \n         (adv-e (at.p (a.d (n+preds restaurant.n \n                            \t\t(just.adv-a (outside.p |Boston|))))))))
639195	Do you think Tom will buy it?\n	((pres do.aux-s) (you.pro (think.v (tht (|Tom| ((pres will.aux-s) (buy.v it.pro))))))?)
639750	Who gave that order?\n	((who.pro ((past give.v) (that.d order.n)))?)
639754	When I give an order, I expect it to be followed.\n	((When.ps (I.pro give.v (an.d order.n))) ((I.pro expect.v) (it.n (to be.v (prog follow.v)))))
640773	Could you give me just a moment?\n	(((pres could.aux-v) you.pro (give.v me.pro (just.adv-e (a.d moment.n)))) ?)
643584	Why would anyone dye their hair pink?\n	((sub why.adv-s ((pres would.aux-s) (anyone.pro (dye.v ((their.d hair.n) pink.a) *h)))) ?)
644095	Tom seemed somewhat annoyed by that.\n	(|Tom| ((past seem.v) (somewhat.adv-a (annoyed.a (by.p-arg that.pro)))))
644749	Do you think you're handsome?\n	(((pres do.aux-s) you.pro (think.v (tht (you.pro ((pres be.v) handsome.a))))) ?)
645437	Have you tried taking a sleeping pill?\n	(((pres perf) you.pro (try.v (ka (take.v (a-gen.d (sleeping.a pill.n)))))) ?)
646821	"Do you enjoy seeing people blush, Tom?" "I'm not denying it."\n	((I.pro (pres be.v)) (not ((pres denying.v) it.n)))
646871	Tom, may I speak with you?\n	((|Tom| ((pres may.aux-s) i.pro (speak.v (adv-a (with.p you.pro))))) ?)
647338	I think Tom really likes me.\n	(I.pro ((pres think.v) (tht (|Tom| (really.adv-a ((pres like.v) me.pro))))))
648316	I don't suppose you'd still have last Saturday's paper?\n	( (I.pro) (do.aux-s not( suppose.v )( ( ( (you.pro) (d.aux-s ( ( still.adv-s (pres have.v)) (((last.a) |Saturday|'s) paper.n)))))))?)
648369	How can we contact you?\n	((sub How.adv-a (can.aux-v (we.pro (contact.v you.pro)) *h))?)
648635	Have you had any lunch?\n	(((pres perf) you.pro (have.v (any.d lunch.n)))?)
648661	Would you mind not talking about your surgery now - I'm trying to eat.\n	(((pres would.aux-s) you.pro (mind.v (ka (not ((talk.v (about.p-arg (your.d surgery.n))) now.adv-e))))) (i.pro ((pres prog) (try.v (to eat.v)))))
649037	Tom told me you had stopped by.\n	(|Tom| (((past tell.v) me.pro) (tht (you.pro ((past perf) stop_by.v)))))
649471	Can you tell us what Tom did?\n	(((pres can.aux-v (you.pro (tell.v (us.pro (what.pro (|Tom| (past do.v))))))))?)
649618	When are you going to tell her?\n	((when.adv-e ((pres be.v) you.pro ((going_to.v tell.v) her.pro))) ?)
650796	Did you tell Tom I was having trouble?\n	((((past do.aux-s) you.pro (tell.v |Tom|)) (tht (I.pro ((past prog) have.v (k trouble.n))))) ?)
650801	Could you tell us more about yourself?\n	((Could.aux-s you.pro tell.v us.pro (more.a (about.adv-s yourself.pro)))?)
651929	Has anyone ever told you that you have beautiful eyes?\n	((past have.v) (anyone.n (ever.adv-s (past tell.v)  you.pro (that you.pro have.v (beautiful.a eyes.n))))?)
652631	Do you know how fast you were going?\n	((Do.aux-s you.pro (pres know.v) (how.adv-e fast.a (you.pro (past be.v) (prog going.v)))?))
652712	Is this your first convention?\n	(((pres be.v) this.pro (your.d (first.a convention.n))) ?)
652842	Who is going to coordinate our activity if we don't do it for ourselves?\n	((sub ((who.pro ((pres be.v) (going_to.v coordinate.v)) (our.d activity.n))) \n\t   ((if.ps (we.pro ((pres do.aux-s) (not (do.v it.pro)) (for.p ourselves.pro *h)))))) ?)
652869	Do you love your children?\n	(((pres do.aux-s) you.pro (love.v (your.d (plur child.n)))) ?)
654086	Are you sure it's safe?\n	((((pres be.v) you.pro sure.a) (tht (it.pro (be.v safe.a)))) ?)
654336	Why do you hate me so much?\n	(((sub why.adv-s ((pres do.aux-s) you.pro ((hate.v me.pro) so_much.adv-a)))) ?)
657004	Heyâ€¦ did you hear the news?\n	((Hey.gr ((past do.aux-s) (you.pro (hear.v (the.d news.n)))))?)
657145	Can you loan him some money?\n	(((pres Can.aux-v) you.pro ((loan.v him.pro) (some.d money.n))) ?)
657146	Can you loan her some money?\n	(((pres can.aux-s) you.pro (loan.v her.pro (some.d (plur money.n)))) ?)
657398	I do not understand Tom's ostensible contempt for satorial concerns of his peers.\n	(I.pro ((pres do.aux-s) (not (understand.v (n+preds ((|Tom|'s) (ostensible.a (contempt-of.n *s))) (for.p (n+preds (satorial.a (plur concern.n)) (of.p (his.d (plur peer.n))))))))))
658175	Do you mean all this was for nothing?\n	(((pres do.aux-s) you.pro (mean.v (tht ((all.d this.pro) ((past be.v) (for.p-arg nothing.n))))))?)
658231	How could I forget something like that?\n	((sub \n  How.pq \n  ((pres could.aux-v) I.pro (forget.v (np+preds something.pro (like.p that.pro)) *h))) ?)
659571	What's the name of that fat girl you used to date in high school?\n	((sub what.pro (((pres be.v) (= (the.d (n+preds name.n (of.p (that.d (n+preds (fat.a girl.n) (sub tht.rel (you.pro (((past use.v) (to (date.v *h))) (adv-e (in.p (k (high.a school.n)))))))))))))) *h)) ?)
661915	Where's the big guy?\n	(Where.pq (pres be.v) (the.d (big.a guy.n))?)
662734	Can I get up now?\n	(((pres Can.aux-v) I.pro \n  (get_up.v now.adv-e)) ?)
662755	Can you prevent it?\n	(((pres can.aux-s) you.pro (prevent.v it.pro)) ?)
662758	Can you freeze it?\n	(((pres can.aux-v) you.pro freeze.v it.pro) ?)
662784	Can I ask a favor?\n	(((pres can.aux-s) (i.pro (ask.v (a.d favor.n)))) ?)
662786	Can you help me down?\n	(((pres can.aux-s) you.pro ((help.v me.pro) down.a)) ?)
663001	Can you excuse me a second?\n	(((pres can.aux-s) you.pro (excuse.v me.pro ({for}.p (a.d second.n)))) ?)
663254	Can you shut the door on your way out?\n	(((pres can.aux-s) you.pro \n  ((shut.v (the.d door.n)) \n   (adv-a (on.p (your.d (n+preds way.n (out.p {ref}.pro))))))) ?)
663317	Can you ask Tom to come on in?\n	((Can.aux-s (you.pro ask.v |Tom|) (to.p (come.n on.p in.n)) ?))
664774	Do you think I did it?\n	(((pres do.aux-s) you.pro (think.v (tht (i.pro ((past do.v) it.pro))))) ?)
665777	Predicting the future isn't always prudent.\n	((pres Predicting.v) (the.d future.n (pres be.v) (not (always.a prudent.a))))
666774	Were you surprised to see Tom?\n	(((past be.v) you.pro (surprised.a (to (see.v |Tom|)))) ?)
668610	Understood why I am opposed to women on the tatami?\n	(({you} (past understand.v) why.ps (I.pro (pres be.v) (past oppose.v) to.p (women.n on.p (the.d tatami.n))) ?))
669566	Can I chat with you outside for a second?\n	((pres can.aux-v) I.pro \n (chat.v (with.p-arg you.pro))\n (adv-a (outside.p)) \n (adv-a (for.p (a.d second.n))))
669665	Can you give me a lift to the train station?\n	( (( Can.aux-s) ( ( you.pro)) ( ( give.v) (( me.pro)) ( ( ( a.p) ( lift.v)) ( ( to.p) (( the.d) ( train_station.n))))) (?)))
671906	Who took care of you?\n	((Who.pro ((past take-care.v) (of.p-arg you.pro)))?)
